[VEP run statistics]
VEP version (API)	 115.2 (115)
[Distribution of variants on chromosome chr17_KI270861v1_alt]
0	3

[Distribution of variants on chromosome chr17_KI270862v1_alt]
0	23

[Distribution of variants on chromosome chr17_KI270907v1_alt]
0	11

[Distribution of variants on chromosome chr17_KI270908v1_alt]
0	26
1	17

[Distribution of variants on chromosome chr17_KI270909v1_alt]
0	4

[Distribution of variants on chromosome chr18]
0	1944
1	986
2	1318
3	1239
4	929
5	1072
6	902
7	920
8	1111
9	1154
10	1320
11	1100
12	1097
13	1200
14	1201
15	668
16	96
17	81
18	101
19	90
20	162
21	602
22	930
23	883
24	920
25	876
26	867
27	830
28	889
29	913
30	1024
31	1000
32	801
33	703
34	631
35	834
36	869
37	1001
38	961
39	718
40	1033
41	757
42	924
43	711
44	692
45	1039
46	934
47	927
48	1093
49	1070
50	849
51	790
52	1061
53	982
54	1095
55	722
56	860
57	1147
58	1146
59	1106
60	1009
61	899
62	934
63	1282
64	979
65	929
66	979
67	1097
68	1016
69	1101
70	1054
71	1160
72	1090
73	1031
74	1161
75	1264
76	1363
77	1587
78	1052
79	1015
80	347

[Distribution of variants on chromosome chr18_GL383568v1_alt]
0	18

[Distribution of variants on chromosome chr18_GL383569v1_alt]
0	5

[Distribution of variants on chromosome chr18_GL383570v1_alt]
0	13

[Distribution of variants on chromosome chr18_GL383571v1_alt]
0	32

[Distribution of variants on chromosome chr18_GL383572v1_alt]
0	8

[Distribution of variants on chromosome chr18_KI270863v1_alt]
0	5

[Distribution of variants on chromosome chr18_KI270864v1_alt]
0	2

[Distribution of variants on chromosome chr18_KI270911v1_alt]
0	13

[Distribution of variants on chromosome chr18_KI270912v1_alt]
0	1

[Distribution of variants on chromosome chr19]
0	1449
1	1639
2	1561
3	1419
4	1545
5	1263
6	1407
7	1673
8	1735
9	1341
10	1285
11	1070
12	974
13	1042
14	1328
15	1602
16	1308
17	1589
18	1286
19	1200
20	721
21	867
22	1012
23	1408
24	854
25	22
26	28
27	1898
28	1282
29	1383
30	896
31	820
32	1192
33	1218
34	895
35	1639
36	786
37	783
38	1131
39	1350
40	1166
41	1005
42	867
43	1459
44	1194
45	1374
46	1113
47	1328
48	1507
49	1343
50	1211
51	1603
52	1450
53	1588
54	93
55	1482
56	1363
57	1239
58	655

[Distribution of variants on chromosome chr19_GL383573v1_alt]
0	3

[Distribution of variants on chromosome chr19_GL383574v1_alt]
0	7

[Distribution of variants on chromosome chr19_GL383575v2_alt]
0	31

[Distribution of variants on chromosome chr19_GL383576v1_alt]
0	8

[Distribution of variants on chromosome chr19_GL949746v1_alt]
0	11

[Distribution of variants on chromosome chr19_GL949747v2_alt]
0	5

[Distribution of variants on chromosome chr19_GL949752v1_alt]
0	9

[Distribution of variants on chromosome chr19_GL949753v2_alt]
0	2

[Distribution of variants on chromosome chr19_KI270865v1_alt]
0	5

[Distribution of variants on chromosome chr19_KI270866v1_alt]
0	217

[Distribution of variants on chromosome chr19_KI270868v1_alt]
0	5

[Distribution of variants on chromosome chr19_KI270938v1_alt]
0	8
1	0

[Distribution of variants on chromosome chr1_GL383520v2_alt]
0	10

[Distribution of variants on chromosome chr1_KI270706v1_random]
0	389

[Distribution of variants on chromosome chr1_KI270707v1_random]
0	42

[Distribution of variants on chromosome chr1_KI270708v1_random]
0	124

[Distribution of variants on chromosome chr1_KI270709v1_random]
0	716

[Distribution of variants on chromosome chr1_KI270710v1_random]
0	113

[Distribution of variants on chromosome chr1_KI270711v1_random]
0	110

[Distribution of variants on chromosome chr1_KI270712v1_random]
0	219

[Distribution of variants on chromosome chr1_KI270713v1_random]
0	176

[Distribution of variants on chromosome chr1_KI270714v1_random]
0	20

[Distribution of variants on chromosome chr1_KI270759v1_alt]
0	14

[Distribution of variants on chromosome chr1_KI270760v1_alt]
0	17

[Distribution of variants on chromosome chr1_KI270761v1_alt]
0	4

[Distribution of variants on chromosome chr1_KI270762v1_alt]
0	222

[Distribution of variants on chromosome chr1_KI270763v1_alt]
0	2

[Distribution of variants on chromosome chr1_KI270764v1_alt]
0	12

[Distribution of variants on chromosome chr1_KI270765v1_alt]
0	39

[Distribution of variants on chromosome chr1_KI270766v1_alt]
0	20

[Distribution of variants on chromosome chr1_KI270892v1_alt]
0	3

[Distribution of variants on chromosome chr2]
0	1284
1	1311
2	1172
3	1443
4	999
5	1082
6	1093
7	977
8	1020
9	1050
10	1637
11	1184
12	1097
13	851
14	819
15	1059
16	1052
17	928
18	870
19	1087
20	1148
21	806
22	737
23	1079
24	1052
25	901
26	1084
27	1022
28	1098
29	1344
30	1125
31	995
32	833
33	1188
34	1018
35	1279
36	985
37	1217
38	1059
39	1065
40	995
41	1145
42	1148
43	1213
44	1053
45	1002
46	956
47	794
48	957
49	984
50	1025
51	892
52	1054
53	978
54	1008
55	1050
56	726
57	990
58	615
59	843
60	791
61	883
62	787
63	714
64	968
65	1060
66	757
67	1231
68	1035
69	966
70	1140
71	1096
72	656
73	890
74	1067
75	1045
76	1128
77	828
78	714
79	1109
80	786
81	775
82	684
83	771
84	889
85	1136
86	895
87	456
88	939
89	1811
90	133
91	1123
92	325
93	328
94	834
95	821
96	813
97	812
98	771
99	847
100	1045
101	1036
102	1095
103	549
104	793
105	1137
106	1151
107	869
108	997
109	927
110	415
111	827
112	991
113	1265
114	828
115	932
116	602
117	1205
118	1005
119	979
120	1101
121	1043
122	974
123	926
124	988
125	882
126	888
127	1107
128	1075
129	1230
130	848
131	1258
132	1389
133	820
134	1075
135	830
136	1073
137	1000
138	890
139	877
140	974
141	1083
142	581
143	748
144	616
145	725
146	659
147	736
148	768
149	879
150	1029
151	1024
152	1020
153	847
154	789
155	678
156	753
157	646
158	1063
159	947
160	919
161	749
162	719
163	535
164	779
165	828
166	988
167	812
168	859
169	1027
170	1233
171	926
172	1024
173	909
174	975
175	812
176	1006
177	1149
178	896
179	930
180	1077
181	929
182	837
183	907
184	792
185	751
186	902
187	724
188	945
189	783
190	943
191	1010
192	720
193	631
194	860
195	868
196	894
197	721
198	853
199	899
200	776
201	969
202	692
203	836
204	750
205	1004
206	820
207	831
208	970
209	771
210	880
211	1019
212	795
213	908
214	1047
215	1182
216	1088
217	1097
218	1097
219	1414
220	985
221	946
222	933
223	1163
224	894
225	853
226	908
227	1348
228	892
229	944
230	1226
231	1144
232	1192
233	1044
234	1262
235	1125
236	1060
237	1149
238	1292
239	1341
240	1593
241	1058
242	25

[Distribution of variants on chromosome chr20]
0	1632
1	1159
2	1327
3	1146
4	1320
5	1172
6	1045
7	996
8	1013
9	1017
10	1007
11	922
12	876
13	894
14	843
15	1067
16	1080
17	935
18	1171
19	946
20	908
21	816
22	1060
23	1324
24	1180
25	1079
26	840
27	116
28	4055
29	6579
30	3746
31	4571
32	1034
33	975
34	803
35	967
36	802
37	1074
38	1000
39	931
40	739
41	701
42	887
43	1052
44	1070
45	1016
46	1140
47	1140
48	926
49	1176
50	992
51	1015
52	868
53	1025
54	949
55	1120
56	1150
57	1126
58	1168
59	1090
60	905
61	1284
62	1844
63	1731
64	202

[Distribution of variants on chromosome chr20_KI270869v1_alt]
0	7

[Distribution of variants on chromosome chr20_KI270870v1_alt]
0	9

[Distribution of variants on chromosome chr20_KI270871v1_alt]
0	19

[Distribution of variants on chromosome chr21]
0	0
1	0
2	0
3	0
4	0
5	1030
6	96
7	2363
8	741
9	2199
10	6596
11	5
12	213
13	890
14	1110
15	759
16	854
17	735
18	1029
19	1031
20	1124
21	1059
22	641
23	979
24	953
25	935
26	1044
27	1059
28	925
29	871
30	949
31	952
32	934
33	1025
34	959
35	1074
36	1288
37	1289
38	1062
39	1370
40	1091
41	1474
42	1559
43	1060
44	1390
45	1564
46	976

[Distribution of variants on chromosome chr21_GL383578v2_alt]
0	11

[Distribution of variants on chromosome chr21_GL383579v2_alt]
0	2

[Distribution of variants on chromosome chr21_GL383580v2_alt]
0	1

[Distribution of variants on chromosome chr21_GL383581v2_alt]
0	24

[Distribution of variants on chromosome chr21_KI270872v1_alt]
0	4

[Distribution of variants on chromosome chr21_KI270873v1_alt]
0	2

[Distribution of variants on chromosome chr21_KI270874v1_alt]
0	8

[Distribution of variants on chromosome chr22]
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	2138
11	2961
12	2422
13	9
14	7
15	387
16	2016
17	1317
18	504
19	1375
20	1361
21	832
22	986
23	847
24	1047
25	1284
26	1200
27	1239
28	671
29	1090
30	1177
31	873
32	1272
33	1079
34	1095
35	937
36	1096
37	1403
38	1134
39	1165
40	696
41	1288
42	968
43	1398
44	1487
45	1355
46	1302
47	1287
48	1692
49	1680
50	1265

[Distribution of variants on chromosome chr22_GL383582v2_alt]
0	2

[Distribution of variants on chromosome chr22_GL383583v2_alt]
0	3

[Distribution of variants on chromosome chr22_KB663609v1_alt]
0	1

[Distribution of variants on chromosome chr22_KI270731v1_random]
0	81

[Distribution of variants on chromosome chr22_KI270732v1_random]
0	203

[Distribution of variants on chromosome chr22_KI270733v1_random]
0	424

[Distribution of variants on chromosome chr22_KI270734v1_random]
0	76

[Distribution of variants on chromosome chr22_KI270735v1_random]
0	692

[Distribution of variants on chromosome chr22_KI270736v1_random]
0	4736

[Distribution of variants on chromosome chr22_KI270737v1_random]
0	150

[Distribution of variants on chromosome chr22_KI270738v1_random]
0	610

[Distribution of variants on chromosome chr22_KI270739v1_random]
0	39

[Distribution of variants on chromosome chr22_KI270875v1_alt]
0	10

[Distribution of variants on chromosome chr22_KI270876v1_alt]
0	8

[Distribution of variants on chromosome chr22_KI270877v1_alt]
0	16

[Distribution of variants on chromosome chr22_KI270878v1_alt]
0	50

[Distribution of variants on chromosome chr22_KI270879v1_alt]
0	39

[Distribution of variants on chromosome chr22_KI270928v1_alt]
0	12

[Distribution of variants on chromosome chr2_GL383521v1_alt]
0	3

[Distribution of variants on chromosome chr2_GL383522v1_alt]
0	8

[Distribution of variants on chromosome chr2_GL582966v2_alt]
0	2

[Distribution of variants on chromosome chr2_KI270716v1_random]
0	36

[Distribution of variants on chromosome chr2_KI270768v1_alt]
0	24

[Distribution of variants on chromosome chr2_KI270769v1_alt]
0	7

[Distribution of variants on chromosome chr2_KI270771v1_alt]
0	1

[Distribution of variants on chromosome chr2_KI270772v1_alt]
0	124

[Distribution of variants on chromosome chr2_KI270773v1_alt]
0	10

[Distribution of variants on chromosome chr2_KI270774v1_alt]
0	24

[Distribution of variants on chromosome chr2_KI270775v1_alt]
0	5

[Distribution of variants on chromosome chr2_KI270776v1_alt]
0	6

[Distribution of variants on chromosome chr2_KI270894v1_alt]
0	47

[Distribution of variants on chromosome chr3]
0	1181
1	1267
2	1146
3	1512
4	1246
5	1288
6	973
7	936
8	1428
9	1026
10	1368
11	981
12	1046
13	1360
14	1205
15	893
16	1093
17	617
18	525
19	612
20	959
21	1198
22	1047
23	1016
24	957
25	992
26	934
27	963
28	665
29	782
30	946
31	925
32	1126
33	1041
34	794
35	865
36	728
37	659
38	1169
39	1163
40	966
41	999
42	1066
43	907
44	941
45	1130
46	1327
47	833
48	949
49	1061
50	886
51	888
52	1212
53	981
54	876
55	957
56	1085
57	1040
58	1172
59	973
60	1240
61	1016
62	1081
63	758
64	963
65	903
66	951
67	1051
68	987
69	964
70	777
71	986
72	1055
73	1031
74	864
75	2498
76	892
77	950
78	845
79	840
80	782
81	652
82	804
83	759
84	768
85	833
86	693
87	879
88	1100
89	739
90	4626
91	834
92	107
93	433
94	617
95	903
96	862
97	510
98	1231
99	1001
100	828
101	942
102	881
103	912
104	1193
105	976
106	1134
107	793
108	945
109	909
110	974
111	1075
112	1260
113	914
114	784
115	805
116	938
117	802
118	752
119	951
120	921
121	935
122	995
123	968
124	948
125	545
126	1157
127	993
128	1006
129	992
130	1096
131	939
132	841
133	908
134	1136
135	866
136	727
137	982
138	1063
139	924
140	854
141	1076
142	578
143	969
144	731
145	904
146	772
147	521
148	798
149	967
150	911
151	834
152	733
153	934
154	413
155	822
156	869
157	822
158	935
159	666
160	585
161	939
162	1214
163	911
164	856
165	694
166	482
167	551
168	541
169	914
170	750
171	803
172	1096
173	725
174	817
175	822
176	1027
177	957
178	739
179	947
180	646
181	601
182	668
183	1256
184	1132
185	1105
186	1208
187	1024
188	1056
189	969
190	1035
191	1354
192	932
193	1050
194	1527
195	1055
196	1340
197	943
198	61

[Distribution of variants on chromosome chr3_GL000221v1_random]
0	111

[Distribution of variants on chromosome chr3_GL383526v1_alt]
0	5

[Distribution of variants on chromosome chr3_JH636055v2_alt]
0	1

[Distribution of variants on chromosome chr3_KI270777v1_alt]
0	3

[Distribution of variants on chromosome chr3_KI270778v1_alt]
0	3

[Distribution of variants on chromosome chr3_KI270779v1_alt]
0	43

[Distribution of variants on chromosome chr3_KI270780v1_alt]
0	15

[Distribution of variants on chromosome chr3_KI270781v1_alt]
0	8

[Distribution of variants on chromosome chr3_KI270782v1_alt]
0	5

[Distribution of variants on chromosome chr3_KI270783v1_alt]
0	12

[Distribution of variants on chromosome chr3_KI270784v1_alt]
0	12

[Distribution of variants on chromosome chr3_KI270895v1_alt]
0	3

[Distribution of variants on chromosome chr3_KI270924v1_alt]
0	14

[Distribution of variants on chromosome chr3_KI270935v1_alt]
0	14

[Distribution of variants on chromosome chr3_KI270936v1_alt]
0	4

[Distribution of variants on chromosome chr3_KI270937v1_alt]
0	19

[Distribution of variants on chromosome chr4]
0	1229
1	1484
2	1243
3	1399
4	1156
5	1245
6	1671
7	1788
8	1439
9	1245
10	1440
11	1024
12	1084
13	915
14	1173
15	1090
16	880
17	1112
18	947
19	777
20	849
21	766
22	859
23	858
24	966
25	1037
26	802
27	1066
28	1009
29	822
30	701
31	944
32	705
33	720
34	498
35	1010
36	1193
37	1164
38	1160
39	1207
40	1063
41	796
42	1111
43	1142
44	1071
45	923
46	765
47	903
48	1019
49	9335
50	142
51	299
52	889
53	1036
54	1049
55	943
56	1004
57	1187
58	906
59	1058
60	1215
61	844
62	829
63	1195
64	1018
65	1066
66	991
67	1138
68	435
69	1190
70	1283
71	996
72	1190
73	966
74	946
75	1072
76	1131
77	1177
78	1124
79	981
80	721
81	959
82	1056
83	1024
84	638
85	1014
86	686
87	1025
88	900
89	880
90	741
91	725
92	414
93	731
94	996
95	920
96	649
97	724
98	1072
99	921
100	914
101	756
102	1049
103	847
104	694
105	862
106	784
107	799
108	1134
109	973
110	975
111	822
112	853
113	916
114	966
115	1018
116	796
117	809
118	963
119	996
120	762
121	951
122	729
123	964
124	774
125	1027
126	881
127	788
128	885
129	871
130	702
131	815
132	1082
133	689
134	901
135	1011
136	890
137	973
138	1124
139	963
140	861
141	893
142	1028
143	1175
144	950
145	661
146	772
147	1045
148	892
149	670
150	676
151	820
152	843
153	1164
154	1175
155	829
156	1036
157	894
158	1058
159	1098
160	976
161	997
162	1047
163	872
164	1006
165	916
166	983
167	940
168	941
169	917
170	923
171	924
172	905
173	893
174	992
175	791
176	1242
177	1100
178	988
179	1257
180	1161
181	1101
182	1081
183	1228
184	1528
185	1312
186	1186
187	1107
188	1364
189	616
190	504

[Distribution of variants on chromosome chr4_GL000008v2_random]
0	886

[Distribution of variants on chromosome chr4_GL000257v2_alt]
0	30

[Distribution of variants on chromosome chr4_GL383527v1_alt]
0	22

[Distribution of variants on chromosome chr4_KI270785v1_alt]
0	6

[Distribution of variants on chromosome chr4_KI270786v1_alt]
0	38

[Distribution of variants on chromosome chr4_KI270787v1_alt]
0	6

[Distribution of variants on chromosome chr4_KI270788v1_alt]
0	4

[Distribution of variants on chromosome chr4_KI270789v1_alt]
0	18

[Distribution of variants on chromosome chr4_KI270790v1_alt]
0	20

[Distribution of variants on chromosome chr4_KI270896v1_alt]
0	31

[Distribution of variants on chromosome chr4_KI270925v1_alt]
0	55

[Distribution of variants on chromosome chr5]
0	1217
1	1114
2	1532
3	1572
4	1068
5	1286
6	1165
7	1093
8	1341
9	1009
10	1353
11	981
12	811
13	1059
14	1014
15	597
16	947
17	1106
18	979
19	753
20	874
21	792
22	769
23	1024
24	1061
25	983
26	964
27	800
28	890
29	962
30	962
31	1140
32	998
33	891
34	1118
35	1110
36	980
37	833
38	863
39	943
40	1205
41	750
42	943
43	906
44	714
45	561
46	1208
47	225
48	17
49	1332
50	1136
51	691
52	977
53	764
54	1184
55	1094
56	982
57	910
58	1000
59	727
60	849
61	819
62	1015
63	808
64	645
65	1026
66	975
67	595
68	732
69	206
70	23
71	414
72	864
73	984
74	1110
75	806
76	1173
77	1027
78	961
79	781
80	1057
81	902
82	941
83	926
84	827
85	1037
86	833
87	598
88	700
89	549
90	841
91	761
92	618
93	543
94	587
95	810
96	985
97	943
98	986
99	1027
100	690
101	866
102	901
103	666
104	968
105	760
106	736
107	833
108	771
109	731
110	750
111	989
112	915
113	1128
114	867
115	967
116	926
117	571
118	715
119	908
120	776
121	1151
122	794
123	720
124	996
125	954
126	1055
127	722
128	778
129	817
130	511
131	697
132	996
133	990
134	859
135	1305
136	826
137	830
138	964
139	830
140	1017
141	1113
142	921
143	890
144	707
145	705
146	874
147	816
148	992
149	1085
150	996
151	1210
152	843
153	1044
154	1059
155	1052
156	763
157	1127
158	820
159	766
160	1173
161	908
162	752
163	1069
164	640
165	720
166	834
167	836
168	861
169	921
170	1166
171	868
172	1049
173	1235
174	1106
175	1026
176	1071
177	856
178	1603
179	1372
180	1468
181	388

[Distribution of variants on chromosome chr5_GL000208v1_random]
0	336

[Distribution of variants on chromosome chr5_GL339449v2_alt]
0	35
1	1

[Distribution of variants on chromosome chr5_GL383530v1_alt]
0	3

[Distribution of variants on chromosome chr5_GL383531v1_alt]
0	7

[Distribution of variants on chromosome chr5_GL383532v1_alt]
0	12

[Distribution of variants on chromosome chr5_GL949742v1_alt]
0	23

[Distribution of variants on chromosome chr5_KI270792v1_alt]
0	11

[Distribution of variants on chromosome chr5_KI270794v1_alt]
0	3

[Distribution of variants on chromosome chr5_KI270795v1_alt]
0	16

[Distribution of variants on chromosome chr5_KI270897v1_alt]
0	12
1	2

[Distribution of variants on chromosome chr5_KI270898v1_alt]
0	2

[Distribution of variants on chromosome chr6]
0	1261
1	1296
2	935
3	1152
4	1155
5	994
6	1186
7	1096
8	966
9	842
10	1100
11	1185
12	922
13	1090
14	1054
15	939
16	967
17	1030
18	1306
19	837
20	916
21	1000
22	1073
23	1163
24	1115
25	1139
26	942
27	962
28	456
29	75
30	2
31	27
32	3
33	842
34	1065
35	1033
36	1052
37	1232
38	942
39	1202
40	1215
41	1160
42	1164
43	1221
44	1350
45	808
46	973
47	1144
48	835
49	1027
50	819
51	1053
52	1211
53	1134
54	954
55	964
56	768
57	507
58	390
59	121
60	1183
61	1298
62	973
63	1076
64	875
65	767
66	838
67	1016
68	689
69	805
70	682
71	879
72	570
73	925
74	650
75	888
76	1089
77	796
78	1018
79	796
80	964
81	826
82	864
83	561
84	881
85	1134
86	772
87	1043
88	658
89	931
90	819
91	695
92	994
93	730
94	802
95	895
96	982
97	731
98	726
99	1172
100	931
101	808
102	649
103	947
104	799
105	751
106	954
107	1025
108	795
109	1087
110	941
111	692
112	849
113	1019
114	845
115	893
116	938
117	790
118	967
119	901
120	838
121	819
122	917
123	956
124	859
125	792
126	649
127	656
128	365
129	914
130	947
131	759
132	861
133	832
134	947
135	760
136	796
137	1062
138	854
139	946
140	611
141	732
142	724
143	992
144	914
145	887
146	711
147	804
148	926
149	719
150	1196
151	1021
152	1018
153	1052
154	960
155	936
156	870
157	1255
158	1074
159	1182
160	1165
161	1121
162	1050
163	1048
164	1202
165	1201
166	1277
167	1535
168	1463
169	1101
170	708

[Distribution of variants on chromosome chr6_GL000250v2_alt]
0	1
1	0
2	0
3	0
4	2

[Distribution of variants on chromosome chr6_GL000251v2_alt]
0	4
1	13
2	17
3	18
4	9

[Distribution of variants on chromosome chr6_GL000252v2_alt]
0	1
1	6
2	28
3	26
4	1

[Distribution of variants on chromosome chr6_GL000253v2_alt]
0	0
1	49
2	42
3	11
4	3

[Distribution of variants on chromosome chr6_GL000254v2_alt]
0	6
1	6
2	6
3	0
4	0

[Distribution of variants on chromosome chr6_GL000255v2_alt]
0	0
1	61
2	21
3	6
4	10

[Distribution of variants on chromosome chr6_GL000256v2_alt]
0	5
1	56
2	9
3	16
4	14

[Distribution of variants on chromosome chr6_GL383533v1_alt]
0	44

[Distribution of variants on chromosome chr6_KB021644v2_alt]
0	9

[Distribution of variants on chromosome chr6_KI270758v1_alt]
0	1

[Distribution of variants on chromosome chr6_KI270797v1_alt]
0	7

[Distribution of variants on chromosome chr6_KI270798v1_alt]
0	5

[Distribution of variants on chromosome chr6_KI270799v1_alt]
0	1

[Distribution of variants on chromosome chr6_KI270800v1_alt]
0	1

[Distribution of variants on chromosome chr6_KI270801v1_alt]
0	3

[Distribution of variants on chromosome chr6_KI270802v1_alt]
0	10

[Distribution of variants on chromosome chr7]
0	1349
1	1656
2	1173
3	932
4	1459
5	1451
6	1275
7	1255
8	1102
9	1129
10	1222
11	1042
12	1151
13	940
14	934
15	850
16	966
17	908
18	747
19	975
20	842
21	1275
22	1131
23	855
24	1058
25	927
26	847
27	979
28	1125
29	1038
30	914
31	954
32	1125
33	1104
34	690
35	865
36	1142
37	1078
38	1115
39	844
40	794
41	943
42	935
43	1020
44	1047
45	1081
46	980
47	1189
48	1001
49	1248
50	1197
51	1002
52	992
53	1101
54	1115
55	1150
56	934
57	1874
58	781
59	150
60	591
61	1105
62	2044
63	926
64	1254
65	896
66	972
67	1063
68	1418
69	914
70	988
71	1168
72	838
73	717
74	725
75	861
76	653
77	762
78	1188
79	891
80	895
81	778
82	906
83	979
84	666
85	785
86	775
87	598
88	780
89	949
90	982
91	930
92	588
93	851
94	681
95	958
96	859
97	929
98	1098
99	832
100	2175
101	1468
102	922
103	738
104	946
105	1009
106	1032
107	863
108	779
109	1012
110	760
111	630
112	877
113	777
114	685
115	702
116	765
117	725
118	758
119	624
120	536
121	885
122	675
123	901
124	1046
125	787
126	894
127	808
128	1196
129	1069
130	940
131	1235
132	1070
133	1005
134	1421
135	1042
136	856
137	956
138	1186
139	849
140	968
141	905
142	79
143	555
144	785
145	972
146	755
147	1214
148	593
149	1359
150	1277
151	1385
152	1294
153	1188
154	1333
155	1828
156	1071
157	1227
158	1371
159	587

[Distribution of variants on chromosome chr7_GL383534v2_alt]
0	1

[Distribution of variants on chromosome chr7_KI270803v1_alt]
0	108
1	0

[Distribution of variants on chromosome chr7_KI270804v1_alt]
0	6

[Distribution of variants on chromosome chr7_KI270805v1_alt]
0	9

[Distribution of variants on chromosome chr7_KI270806v1_alt]
0	4

[Distribution of variants on chromosome chr7_KI270807v1_alt]
0	3

[Distribution of variants on chromosome chr7_KI270808v1_alt]
0	6

[Distribution of variants on chromosome chr7_KI270809v1_alt]
0	11

[Distribution of variants on chromosome chr7_KI270899v1_alt]
0	18

[Distribution of variants on chromosome chr8]
0	727
1	18
2	311
3	2004
4	2056
5	1952
6	1848
7	484
8	1151
9	1432
10	1436
11	1579
12	1234
13	1711
14	1522
15	1393
16	1306
17	1416
18	1406
19	1419
20	1249
21	1053
22	1291
23	1303
24	851
25	1219
26	1187
27	1300
28	1057
29	974
30	1015
31	1014
32	1079
33	986
34	555
35	704
36	545
37	1004
38	1025
39	488
40	1211
41	1058
42	770
43	1008
44	206
45	296
46	774
47	544
48	648
49	1080
50	942
51	1099
52	860
53	1002
54	795
55	1004
56	991
57	666
58	814
59	737
60	897
61	744
62	988
63	795
64	716
65	863
66	600
67	738
68	932
69	1095
70	670
71	790
72	962
73	1044
74	825
75	703
76	651
77	878
78	609
79	634
80	841
81	900
82	898
83	861
84	624
85	640
86	985
87	512
88	739
89	894
90	954
91	677
92	659
93	842
94	1084
95	939
96	930
97	952
98	658
99	627
100	1022
101	914
102	857
103	774
104	872
105	747
106	846
107	942
108	621
109	604
110	495
111	682
112	845
113	952
114	723
115	788
116	843
117	861
118	906
119	1017
120	792
121	991
122	780
123	1051
124	1165
125	882
126	1081
127	996
128	653
129	932
130	1020
131	1034
132	1141
133	1065
134	1080
135	789
136	988
137	1087
138	1381
139	1245
140	981
141	1272
142	1591
143	1067
144	1286
145	105

[Distribution of variants on chromosome chr8_KI270810v1_alt]
0	21

[Distribution of variants on chromosome chr8_KI270812v1_alt]
0	3

[Distribution of variants on chromosome chr8_KI270813v1_alt]
0	15

[Distribution of variants on chromosome chr8_KI270815v1_alt]
0	3

[Distribution of variants on chromosome chr8_KI270816v1_alt]
0	5

[Distribution of variants on chromosome chr8_KI270817v1_alt]
0	8

[Distribution of variants on chromosome chr8_KI270818v1_alt]
0	22

[Distribution of variants on chromosome chr8_KI270819v1_alt]
0	10

[Distribution of variants on chromosome chr8_KI270820v1_alt]
0	12

[Distribution of variants on chromosome chr8_KI270821v1_alt]
0	114

[Distribution of variants on chromosome chr8_KI270822v1_alt]
0	13

[Distribution of variants on chromosome chr8_KI270900v1_alt]
0	27

[Distribution of variants on chromosome chr8_KI270901v1_alt]
0	7

[Distribution of variants on chromosome chr8_KI270926v1_alt]
0	3

[Distribution of variants on chromosome chr9]
0	1434
1	1246
2	1342
3	1074
4	1436
5	1003
6	1166
7	944
8	1132
9	965
10	1109
11	1235
12	1217
13	1034
14	1051
15	1253
16	1428
17	1232
18	940
19	1096
20	863
21	985
22	1020
23	894
24	726
25	922
26	843
27	1176
28	1191
29	1017
30	826
31	1121
32	1212
33	1142
34	1206
35	1000
36	1024
37	985
38	1004
39	646
40	1540
41	1361
42	1091
43	592
44	302
45	137
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	301
61	299
62	747
63	1498
64	622
65	510
66	325
67	260
68	717
69	1049
70	891
71	921
72	717
73	836
74	934
75	1011
76	1132
77	827
78	959
79	777
80	1138
81	795
82	625
83	983
84	924
85	700
86	892
87	1250
88	919
89	1019
90	960
91	844
92	1090
93	1135
94	1013
95	881
96	788
97	855
98	1254
99	853
100	826
101	569
102	954
103	940
104	1099
105	810
106	692
107	1131
108	1062
109	961
110	1123
111	855
112	1299
113	833
114	1347
115	995
116	930
117	1088
118	934
119	865
120	898
121	1038
122	905
123	986
124	884
125	803
126	1175
127	1115
128	1229
129	1447
130	1083
131	1311
132	1235
133	1749
134	1762
135	1381
136	1597
137	1502
138	253

[Distribution of variants on chromosome chr9_GL383541v1_alt]
0	1

[Distribution of variants on chromosome chr9_GL383542v1_alt]
0	17

[Distribution of variants on chromosome chr9_KI270717v1_random]
0	8

[Distribution of variants on chromosome chr9_KI270718v1_random]
0	77

[Distribution of variants on chromosome chr9_KI270719v1_random]
0	259

[Distribution of variants on chromosome chr9_KI270720v1_random]
0	279

[Distribution of variants on chromosome chrM]
0	40

[Distribution of variants on chromosome chrUn_GL000195v1]
0	574

[Distribution of variants on chromosome chrUn_GL000213v1]
0	14

[Distribution of variants on chromosome chrUn_GL000214v1]
0	324

[Distribution of variants on chromosome chrUn_GL000216v2]
0	6044

[Distribution of variants on chromosome chrUn_GL000218v1]
0	439

[Distribution of variants on chromosome chrUn_GL000219v1]
0	1425

[Distribution of variants on chromosome chrUn_GL000220v1]
0	160

[Distribution of variants on chromosome chrUn_GL000224v1]
0	435

[Distribution of variants on chromosome chrUn_KI270330v1]
0	21

[Distribution of variants on chromosome chrUn_KI270333v1]
0	354

[Distribution of variants on chromosome chrUn_KI270336v1]
0	120

